Time,pVD24,pVD26,pVD27,pVD31,pVD32,pVD33,pVD34,pVD54,pVD57,pVD59
Induced,400,24254,33368,65141,33677,39453,49611,29315,27105,22354
Induced,488,35179,44596,62451,46938,49307,49680,35815,32155,23141
Induced,472,33003,42824,49446,45101,42264,41750,30226,26194,18592
Induced,402,25988,37636,42590,41961,40564,37579,26372,25715,18457
Induced,291,19388,31229,46073,27037,33022,32892,19197,19281,18734
Uninduced,140,1265,4346,4779,2671,5356,8737,1489,1468,1788
2 min,351,25297,32220,58157,32782,38670,44867,27013,26215,19694
,428,31508,39709,52623,38142,40897,43594,27810,25741,18743
,424,28205,36104,43136,38664,36052,36749,24115,21806,16859
,357,21396,32171,37761,36011,34025,32445,20920,20331,17695
,284,18781,29727,43064,26269,31288,30566,20105,18796,17737
Uninduced,128,1140,3862,4144,2308,4874,7592,1390,1391,1672
4 min,335,24420,29326,50607,31458,36173,43716,24243,23853,19004
,400,28386,37227,48605,37028,37410,39196,23186,21047,16725
,353,24018,34553,39845,38872,35446,33332,21440,18853,15305
,327,18282,29192,34817,33644,31225,29956,18061,17604,16661
,252,17589,28000,40290,27262,29444,28811,18327,16882,16843
Uninduced,126,1087,3726,4254,2192,4741,7031,1327,1343,1586
6 min,309,23923,28551,45830,29797,32523,39387,22113,20008,18859
,364,25451,33743,41829,33552,34738,36706,21149,19740,15934
,363,21962,32294,37495,37622,34005,32227,19533,18230,14560
,303,17342,28213,33384,32892,29973,28828,17060,16363,15294
,250,16467,25875,34922,24610,27391,27287,17153,15902,15692
Uninduced,124,1056,3532,3883,2103,4448,6450,1333,1344,1548
8 min,320,23399,27599,42456,29605,31970,37688,20904,18918,17513
,331,23872,31908,38247,32782,34179,35657,20114,18312,16123
,343,20387,31890,35424,37010,33152,31666,19036,17099,14645
,299,16002,27100,31886,31838,28623,28170,16145,15977,15488
,232,15891,24461,32995,24062,26381,26599,16666,14943,15254
Uninduced,122,1015,3461,3586,2060,4417,6152,1320,1312,1517
10 min,297,22273,26217,38157,27959,30927,35405,19566,18005,16847
,327,22664,30572,35933,31936,33315,34484,20043,17741,15620
,338,19443,30416,34171,36194,32778,30990,18647,16740,14605
,272,15313,26638,31294,31215,27569,27732,15499,15805,15467
,220,15220,23614,31093,23160,25459,25725,16310,14301,14677
Uninduced,118,1000,3463,3552,2055,4282,6104,1301,1312,1417
12 min,270,19487,24094,34887,26858,28742,34321,18415,16342,16800
,314,21005,28718,34675,31259,32318,32504,19824,17281,15044
,300,18412,29198,32811,35101,31860,30197,18026,16354,14341
,286,14134,25622,30217,29892,26602,26874,14461,15100,14723
,209,14797,22257,29401,22377,24044,25020,15178,13434,14286
Uninduced,112,984,3213,3295,1971,4046,5754,1301,1278,1338
14 min,255,18455,22595,32393,24413,27334,33210,17591,15501,15480
,300,20037,27346,31820,29904,30817,30760,19006,16929,14796
,284,18213,29271,31514,33970,30807,29016,17434,15722,14188
,241,13036,24621,28822,28998,25342,26035,14374,14646,14751
,206,13999,21221,27415,21178,22459,24082,14289,12773,13901
Uninduced,111,952,2981,3173,1948,3839,5438,1271,1250,1294
16 min,249,17501,21435,30452,23225,25778,31837,17016,14872,14912
,308,19246,26195,29446,28355,30068,29004,18485,16699,14932
,277,17068,28302,30434,32911,29998,28248,16997,15815,13920
,252,12575,23845,28207,27790,24879,25382,14434,14365,14862
,195,13750,20677,26483,20165,21542,23418,13834,12582,13626
Uninduced,101,983,2853,3078,1840,3417,5194,1240,1233,1293
18 min,223,16682,20055,28766,22519,24304,29863,16844,14447,13198
,277,18934,25090,28798,27603,28809,28873,18234,16567,14553
,271,16848,26776,29423,31612,28616,27126,16505,15208,13833
,226,12163,22705,26948,25974,23131,24068,13533,13837,14393
,187,13192,19538,24457,18982,20568,22655,13223,12518,13243
Uninduced,96,973,2609,2822,1689,3131,5104,1225,1160,1245
