Time,pVD24,pVD26,pVD54,pVD55,pVD56,pVD58,pVD60,pVD61,pVD62
Induced,209,16139,19021,18923,17118,15445,23192,16493,13739
Induced,244,20323,20337,20330,15746,16443,26748,15670,14443
Induced,262,17095,19201,18497,17053,14035,21252,15595,12760
Induced,221,15660,17106,15588,14490,14089,19993,13748,11573
Induced,170,14621,18563,16024,16986,15545,20083,14985,11029
Uninduced,80,1163,1729,1792,1673,1434,1635,969,940
2 min,208,17276,20225,18839,16662,16487,23178,15280,13387
,248,18862,18620,19548,15277,14935,24684,15138,12820
,229,15479,15998,16050,15247,12343,18649,13610,11520
,209,14164,14927,14284,13466,12814,17020,12434,11103
,179,15471,19713,16299,17652,15399,20781,16058,12041
Uninduced,82,1092,1645,1774,1653,1326,1379,902,940
4 min,201,17885,20346,19690,16786,16130,23785,15989,13495
,235,18303,18742,19066,14590,15097,22500,14962,12269
,240,14025,14616,14692,13797,12803,17548,12563,10798
,210,13210,14128,12822,12405,11923,16657,12116,10333
,153,14244,18440,15760,16582,15510,20725,15212,11410
Uninduced,75,1077,1660,1745,1538,1315,1241,890,1034
6 min,181,17022,18707,18487,15705,15182,21885,14662,12240
,220,17316,17087,17530,13148,13997,20122,13354,11473
,220,13725,14952,14156,13444,12377,16774,12028,10327
,192,12690,14101,12268,11505,11701,15163,11063,9732
,158,13373,17809,14363,15426,14995,18402,13652,10422
Uninduced,76,1016,1582,1644,1399,1229,1178,925,986
8 min,183,16743,17854,17742,14625,14202,20572,13489,11554
,220,16265,15961,16482,12336,13227,18104,12310,10969
,216,13606,14561,13748,12921,12156,15854,11614,10032
,178,12422,13777,11328,11298,11582,14529,10722,9379
,150,12116,16584,13391,14363,14177,16783,12450,9883
Uninduced,75,951,1536,1618,1371,1153,1122,880,951
10 min,185,16900,18043,17831,14446,14241,20193,13216,11255
,224,15310,16137,16483,12154,13137,17389,13361,10712
,207,13417,14691,14137,12946,12354,15988,11629,10345
,184,12242,13887,11764,11114,11739,14625,11228,9752
,148,11897,15892,13345,13986,14121,16322,12615,9787
Uninduced,74,965,1517,1618,1401,1105,1202,934,940
12 min,189,15725,16702,17078,13257,13048,18566,12274,10595
,196,14742,15462,15557,11681,12598,16324,12582,10715
,207,13145,14548,13961,12549,12283,15243,11465,10144
,191,11870,13460,11247,11142,11907,14275,10959,9766
,132,11090,15232,12621,13315,13526,15505,12244,9381
Uninduced,67,944,1432,1550,1368,1098,1165,957,950
14 min,180,15374,16598,16354,12782,12496,17918,12232,10392
,195,14656,15122,15135,11469,12358,15702,12102,10079
,195,12951,14670,13798,12337,12233,14998,11492,10155
,184,11978,13453,11212,10712,11659,13890,10990,9853
,138,10906,14744,12660,13089,13379,15053,11921,9374
Uninduced,72,921,1359,1512,1380,1038,1166,936,981
16 min,176,13797,15269,15425,11479,12014,16803,11527,9973
,195,14262,14699,14899,11125,11952,15440,11515,10119
,183,13138,14416,13629,11922,12019,14604,11187,9992
,167,11254,13364,11500,10494,11246,13316,10291,9485
,126,10455,14499,12007,12850,13094,14338,10975,9048
Uninduced,65,924,1304,1453,1310,1026,1072,953,923
18 min,175,13588,15386,15013,11178,11723,16137,11297,9678
,185,13650,14277,14733,11018,11806,14978,11695,10213
,194,12890,14207,13460,11831,12011,14520,11181,9913
,175,11012,13210,11305,10256,11017,12956,10239,9506
,131,10099,13902,11651,12840,12975,13825,10887,8726
Uninduced,62,874,1223,1460,1314,1013,1069,959,931
