Time,pVD24,pVD26,pVD27,pVD31,pVD32,pVD33,pVD34,pVD54,pVD57
Induced,256,17065,23131,25247,18714,21735,26149,21923,16039
Induced,299,26152,30559,34280,28588,33357,31827,20056,21035
Induced,270,23169,29491,33094,29622,30772,29525,19568,15837
Uninduced,134,2807,8053,8203,5267,7937,12086,4076,3487
Uninduced,77,2011,5288,5766,2870,4901,7575,2561,2181
Uninduced,45,1485,3501,3552,2100,3982,4898,1568,1304
2 min,258,19095,24462,29413,20552,25280,28146,19757,16112
Induced,304,26797,30739,37313,29762,35687,32515,18895,17342
Induced,263,20244,27860,32268,28815,30247,26993,17317,13974
Uninduced,145,2331,6688,6864,4423,6729,9908,3293,2633
Uninduced,74,1584,4316,4863,2625,4172,6768,2174,1718
Uninduced,47,1309,3191,2957,1894,3301,4361,1328,1118
4 min,240,20177,24940,30355,22725,29243,27649,19798,15165
Induced,303,25396,30771,36289,31043,35936,31482,17938,16938
Induced,252,19621,28163,31894,30307,30610,25813,16854,13628
Uninduced,135,2245,6216,6586,4337,6442,9558,3197,2411
Uninduced,72,1399,3899,4654,2358,3822,6298,1982,1506
Uninduced,40,1194,2937,2797,1706,3084,4307,1245,1134
6 min,238,18912,24563,29183,22841,28175,26307,17613,14583
Induced,289,23991,30370,35215,30478,33752,29878,16930,15656
Induced,244,19279,28284,31959,31011,30739,25441,16788,13684
Uninduced,130,2196,5788,6431,4248,6092,8971,3140,2282
Uninduced,73,1285,3567,4450,2204,3529,5997,1878,1371
Uninduced,46,1084,2847,2733,1586,2949,4068,1233,1004
8 min,240,18631,24527,29355,23444,27205,25193,17596,13781
Induced,279,22921,28549,34232,30123,32254,29213,16073,15259
Induced,235,19781,28709,33193,31746,31547,25503,17260,13928
Uninduced,127,2230,5601,6341,4202,6030,8828,3103,2235
Uninduced,73,1257,3536,4438,2150,3415,5914,1858,1298
Uninduced,43,1019,2867,2798,1605,2974,4115,1185,1030
10 min,228,17609,23196,28190,22592,25543,24320,16809,12864
Induced,282,22442,27998,32680,29227,31019,27944,15882,15193
Induced,230,19899,28959,33486,32157,31467,25582,17201,14123
Uninduced,129,2222,5604,6242,4186,5973,8768,3151,2136
Uninduced,71,1202,3542,4442,2103,3317,5889,1807,1273
Uninduced,43,949,2756,2722,1487,2921,4052,1118,1032
12 min,221,17106,22871,27338,22216,24570,23901,16261,13045
Induced,260,21192,26857,31858,28170,30002,27057,15002,14766
Induced,240,19662,28209,33732,31814,31318,25130,17094,14011
Uninduced,134,2112,5308,5689,4005,5760,8488,2973,2039
Uninduced,71,1209,3503,4270,2058,3173,5881,1783,1196
Uninduced,42,891,2727,2496,1340,2856,3988,1048,1062
14 min,223,16009,21907,26721,21307,23637,23242,15234,12396
Induced,259,20331,26726,31154,28328,29398,26414,14687,14557
Induced,234,19396,27393,33388,31130,30912,24896,17167,13980
Uninduced,133,2082,5036,5316,3860,5539,8054,2822,1884
Uninduced,70,1197,3437,4131,2063,3144,5843,1804,1221
Uninduced,49,855,2632,2164,1271,2690,3584,1051,1043
16 min,206,15561,21631,26301,20502,22419,22169,14779,12216
Induced,258,19888,25168,30150,27520,28000,25591,14313,14466
Induced,226,19377,27319,32667,30806,30179,24569,16921,13692
Uninduced,121,2023,5070,5320,3767,5166,7499,2695,1772
Uninduced,78,1253,3465,4120,2033,3094,5656,1723,1233
Uninduced,41,873,2508,2043,1202,2371,3244,1038,998
18 min,194,14919,20672,24263,19620,21310,21014,14367,11775
Induced,239,19312,24289,28902,26035,26881,24520,14097,13774
Induced,228,18721,26556,31776,29898,29400,24240,16356,13422
Uninduced,119,1910,4682,4786,3579,4678,6778,2564,1742
Uninduced,69,1225,3359,4124,1868,2936,5304,1636,1164
Uninduced,41,881,2175,2048,1246,2141,3185,1048,953
